item_name,full_price,new_price,discount,amount_saved,category
robert timms coffee bags mocha kenya,Was $4.99, $ 2 49 ,Save $2.50,50.1,Drinks
robert timms coffee bags italian,Was $4.99, $ 2 49 ,Save $2.50,50.1,Drinks
oral b dental floss satin mint tape,Was $4.99, $ 2 49 ,Save $2.50,50.1,Unknown
robert timms coffee bags columbian,Was $4.99, $ 2 49 ,Save $2.50,50.1,Drinks
me today iron boost,Was $19.99, $ 9 99 ,Save $10.00,50.03,Unknown
olay regenerist whip uv face cream moisturiser spf 30,Was $59.99, $ 29 99 ,Save $30.00,50.01,Fridge & Deli
olay regenerist microsculpting face cream moisturiser,Was $59.99, $ 29 99 ,Save $30.00,50.01,Fridge & Deli
olay regenerist microsculpting face cream moisturiser spf 30,Was $59.99, $ 29 99 ,Save $30.00,50.01,Fridge & Deli
olay regenerist microsculpting night face cream moisturiser,Was $59.99, $ 29 99 ,Save $30.00,50.01,Fridge & Deli
dove shampoo restoring ritual,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
bounty chocolate bar,Was $2.00, $ 1 00 ,Save $1.00,50.0,Pantry
dove shampoo intensive repair,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
m&ms sweets milk chocolate,Was $2.00, $ 1 00 ,Save $1.00,50.0,Pantry
dove conditioner nourishing moisture,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
m&ms sweets minis,Was $2.00, $ 1 00 ,Save $1.00,50.0,Unknown
dove conditioner restoring ritual,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
dove shampoo daily care,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
dove conditioner intensive repair,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
twix chocolate bar,Was $2.00, $ 1 00 ,Save $1.00,50.0,Pantry
dove conditioner daily care,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
dove shampoo nourishing moisture,Was $20.00, $ 10 00 ,Save $10.00,50.0,Health & Body
me today high dose magnesium capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,Unknown
me today supplements liver detox,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today energise tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today womens daily tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today echinacea 4000,Was $39.99, $ 20 00 ,Save $19.99,49.99,Unknown
me today vitamin b12 capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today goodnight capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,Unknown
me today high dose cranberry tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today immune capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,Unknown
me today men's daily tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today high dose vitamin d tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today high dose ashwaganda tablets,Was $39.99, $ 20 00 ,Save $19.99,49.99,Health & Body
me today beauty capsules,Was $39.99, $ 20 00 ,Save $19.99,49.99,Unknown
dynamo professional oxi plus laundry detergent liquid,Was $20.00, $ 11 00 ,Save $9.00,45.0,Household
dynamo professional laundry detergent liquid odour eliminator,Was $20.00, $ 11 00 ,Save $9.00,45.0,Household
starbucks flavoured milk frappuccino,Was $4.50, $ 2 50 ,Save $2.00,44.44,Fridge & Deli
essano facial wipes gentle cleansing,Was $9.00, $ 5 00 ,Save $4.00,44.44,Household
schick hydro shave gel moisturising,Was $8.99, $ 5 00 ,Save $3.99,44.38,Unknown
essano conditioner curl define,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano conditioner keratin complex,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano shampoo argan oil,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano shampoo scalp refresh,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano conditioner argan oil,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano shampoo curl define,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano conditioner coconut leave in,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano shampoo blonde,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano shampoo keratin complex,Was $16.00, $ 9 00 ,Save $7.00,43.75,Health & Body
essano hair treatment argan oil recovery serum,Was $15.99, $ 9 00 ,Save $6.99,43.71,Health & Body
watties tomato sauce lite reduced salt,Was $4.39, $ 2 50 ,Save $1.89,43.05,Pantry
eveready super heavy duty aa battery,Was $21.00, $ 12 00 ,Save $9.00,42.86,Household
essano mist toner hydrating rosehip,Was $14.00, $ 8 00 ,Save $6.00,42.86,Beer & Wine
fairy platinum plus dishwasher tablets,Was $35.00, $ 20 00 ,Save $15.00,42.86,Household
eveready super heavy duty aaa battery,Was $21.00, $ 12 00 ,Save $9.00,42.86,Household
essano make up remover micellar water rosehip,Was $14.00, $ 8 00 ,Save $6.00,42.86,Drinks
schick hydro silk dermaplaning refills,Was $13.99, $ 8 00 ,Save $5.99,42.82,Unknown
dove nourishing secrets conditioner restoring ritual,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions conditioner intensive repair,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions shampoo daily moisture,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions shampoo daily care,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nourishing secrets shampoo restoring ritual,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions conditioner daily moisture,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions conditioner daily care,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
essano collagen boost skin care pack trial pk,Was $26.00, $ 15 00 ,Save $11.00,42.31,Unknown
maybelline fit me foundation classic ivory 120 liquid,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
maybelline fit me dewy foundation sun beige 310 luminous liquid,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
maybelline fit me mattifying liquid foundation matte & poreless 220 natural beige,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
maybelline fit me mattifying liquid foundation matte & poreless 115 ivory,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
maybelline fit me mattifying liquid foundation matte & poreless 110 porcelain,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
maybelline fit me matte foundation poreless- natural ivory 112,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
maybelline fit me mattifying liquid foundation matte & poreless 120 classic ivory,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
maybelline foundation poreless 122 creamy beige,Was $29.00, $ 16 80 ,Save $12.20,42.07,Fridge & Deli
maybelline fit me dewy & smooth liquid foundation 220 natural beige,Was $29.00, $ 16 80 ,Save $12.20,42.07,Unknown
anchor uno smooth yoghurt 6pk strawberry mixed berry patch,Was $6.90, $ 4 00 ,Save $2.90,42.03,Fridge & Deli
essano collagen boost serum,Was $34.50, $ 20 00 ,Save $14.50,42.03,Unknown
robert harris coffee pods french esperesso,Was $8.60, $ 5 00 ,Save $3.60,41.86,Drinks
robert harris plunger & filter grind jamaican blue mountain,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
