item_name,full_price,new_price,discount,amount_saved
tony's crumbed lasagne toppa,Was $18.50,$ 16 50,Save $2.00,10.81
meadow fresh sour cream lite,Was $4.70,$ 4 20,Save $0.50,10.64
hellers sausages precooked chunky cheese,Was $13.90,$ 12 50,Save $1.40,10.07
fantastic 2 minute instant noodles multi pack chicken,Was $5.00,$ 4 50,Save $0.50,10.0
instore bakery baps,Was $4.00,$ 3 60,Save $0.40,10.0
sanitarium up & go breakfast drink choc ice,Was $10.90,$ 9 90,Save $1.00,9.17
harvest snaps pea snaps original salted,Was $5.50,$ 5 00,Save $0.50,9.09
chelsea white sugar,Was $2.20,$ 2 00,Save $0.20,9.09
watties salsa chilli beans medium,Was $3.50,$ 3 20,Save $0.30,8.57
oxo vegetable stock cubes 71g,Was $3.60,$ 3 30,Save $0.30,8.33
mainland edam cheese mild & creamy,Was $13.90,$ 12 80,Save $1.10,7.91
glad plastic wrap cling,Was $2.59,$ 2 39,Save $0.20,7.72
pascall family pack marshmallows vanilla & raspberry,Was $6.50,$ 6 00,Save $0.50,7.69
instore bakery baguette,Was $3.00,$ 2 80,Save $0.20,6.67
meadow fresh uht milk standard long life,Was $3.00,$ 2 80,Save $0.20,6.67
tegel free range chicken burgers crunchy,Was $15.50,$ 14 50,Save $1.00,6.45
tegel free range chicken tenders panko bread crumbs,Was $15.50,$ 14 50,Save $1.00,6.45
big black sacks rubbish bags drawstring extra large,Was $3.19,$ 2 99,Save $0.20,6.27
best foods mayonnaise lite,Was $6.90,$ 6 50,Save $0.40,5.8
the collective greek probiotic yoghurt tub unsweetened,Was $9.00,$ 8 70,Save $0.30,3.33
anchor sour cream original,Was $4.40,$ 4 30,Save $0.10,2.27
