item_name,full_price,new_price,discount,amount_saved,category
glow lab body wash citrus and bergamot,Was $16.99, $ 8 39 ,Save $8.60,50.62,Health & Body
glow lab body wash coconut and sandalwood,Was $16.99, $ 8 39 ,Save $8.60,50.62,Health & Body
glow lab body wash blackberry and bay,Was $16.99, $ 8 39 ,Save $8.60,50.62,Health & Body
countdown NZ free farmed pork shoulder chops 2pack,Was $21.90, $ 10 90 kg,Save $11.00,50.23,Meat & Poultry
sunsilk shampoo detox for men,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo brilliant shine,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner brilliant shine,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner long & strong,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo long & strong,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo soft & smooth,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner defeat damage,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo defeat damage,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk shampoo & conditioner total care 2 in 1,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner vibrant colour,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
sunsilk conditioner soft & smooth,Was $7.99, $ 3 99 ,Save $4.00,50.06,Health & Body
herbal essences classics shampoo chamomile,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences shampoo classic coconut,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
pantene pro-v smooth & sleek shampoo for frizzy hair,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
pantene pro-v ultimate 10 repair & protect conditioner for damaged hair,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
pantene pro-v colour protection conditioner for coloured hair,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
pantene pro-v smooth & sleek conditioner for frizzy hair,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
pantene pro-v ultimate 10 repair & protect shampoo for damaged hair,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
pantene pro-v daily moisture renewal shampoo for dry hair,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
herbal essences classics conditioner chamomile,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
pantene pro-v colour protection shampoo for coloured hair,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
pantene pro-v moisture renewal conditioner,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
herbal essences classics shampoo rose hips,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
herbal essences conditioner classic coconut,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
pantene pro-v classic clean shampoo,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
herbal essences classics conditioner rose hips,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
pantene pro-v classic clean conditioner,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
herbal essences bio:renew repairing conditioner argan oil of morocco,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew hydrating conditioner coconut milk,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew cleansing shampoo white strawberry & mint,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew hydrating shampoo coconut milk,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew repairing shampoo argan oil of morocco,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
garnier fructis shampoo pineapple hair food,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
herbal essences bio:renew cleansing conditioner white strawberry & mint,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
garnier fructis hair food conditioner watermelon for fine hair,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
garnier fructis shampoo watermelon hair food,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
garnier fructis conditioner pineapple hair food,Was $13.99, $ 6 99 ,Save $7.00,50.04,Health & Body
garnier body food hydrating gel watermelon,Was $16.99, $ 8 49 ,Save $8.50,50.03,Drinks
garnier bb cream anti-ageing perfector light,Was $19.99, $ 9 99 ,Save $10.00,50.03,Fridge & Deli
garnier bb cream all in 1 perfector light beige,Was $19.99, $ 9 99 ,Save $10.00,50.03,Fridge & Deli
garnier body superfood repairing butter cocoa,Was $16.99, $ 8 49 ,Save $8.50,50.03,Fridge & Deli
bulldog shaver original bamboo handle,Was $17.99, $ 8 99 ,Save $9.00,50.03,Unknown
garnier micellar reusable eco pads,Was $18.99, $ 9 49 ,Save $9.50,50.03,Unknown
garnier bb cream spf50 even tone medium,Was $19.99, $ 9 99 ,Save $10.00,50.03,Fridge & Deli
garnier skin active gel cleanser vitamin c,Was $17.99, $ 8 99 ,Save $9.00,50.03,Health & Body
sukin facial cleanser cream,Was $16.99, $ 8 49 ,Save $8.50,50.03,Fridge & Deli
garnier pure active charcoal facial scrub and mask 3 in 1,Was $14.99, $ 7 49 ,Save $7.50,50.03,Unknown
bulldog razor blades original,Was $18.99, $ 9 49 ,Save $9.50,50.03,Unknown
sukin toner hydrating mist,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
sukin facial moisturiser,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
garnier bb cream anti-ageing perfector medium,Was $19.99, $ 9 99 ,Save $10.00,50.03,Fridge & Deli
sukin facial cleanser foaming,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
sukin facial scrub revitalising,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
garnier skin active anti-blemish serum 3,Was $32.99, $ 16 49 ,Save $16.50,50.02,Unknown
garnier hyaluronic day moisturising jelly day,Was $27.99, $ 13 99 ,Save $14.00,50.02,Unknown
garnier hyaluronic aloe serum,Was $32.99, $ 16 49 ,Save $16.50,50.02,Unknown
garnier skin active serum cream vitamin c,Was $27.99, $ 13 99 ,Save $14.00,50.02,Health & Body
sukin night cream moisture restoring,Was $27.99, $ 13 99 ,Save $14.00,50.02,Fridge & Deli
garnier day cream vitamin c,Was $27.99, $ 13 99 ,Save $14.00,50.02,Health & Body
garnier skin active anti-dark spot serum vitamin c brightening,Was $34.99, $ 17 49 ,Save $17.50,50.01,Health & Body
sukin purely ageless restorative night cream,Was $36.99, $ 18 49 ,Save $18.50,50.01,Fridge & Deli
sukin purely ageless rejuvenating day cream,Was $36.99, $ 18 49 ,Save $18.50,50.01,Fridge & Deli
oral b pro 100 electric toothbrush cross action black,Was $79.99, $ 39 99 ,Save $40.00,50.01,Unknown
bulldog facial scrub original,Was $12.00, $ 6 00 ,Save $6.00,50.0,Unknown
tegel take outs chicken portions nashville style,Was $16.00, $ 8 00 ,Save $8.00,50.0,Meat & Poultry
tegel take outs chicken tenders nashville style,Was $16.00, $ 8 00 ,Save $8.00,50.0,Meat & Poultry
sunsilk shampoo soft & smooth,Was $14.00, $ 7 00 ,Save $7.00,50.0,Health & Body
tegel take outs chicken portions louisiana style,Was $16.00, $ 8 00 ,Save $8.00,50.0,Meat & Poultry
sunsilk shampoo clean & fresh,Was $14.00, $ 7 00 ,Save $7.00,50.0,Health & Body
sunsilk conditioner clean & fresh,Was $14.00, $ 7 00 ,Save $7.00,50.0,Health & Body
bulldog moisturiser original,Was $14.00, $ 7 00 ,Save $7.00,50.0,Unknown
decor glass container vent & seal oblong,Was $12.00, $ 6 00 ,Save $6.00,50.0,Unknown
