item_name,full_price,new_price,discount,amount_saved,category
kanuka glen art diary a53 wiro kotare oy,Was $19.99, $ 5 00 ,Save $14.99,74.99,Unknown
fruity sacks reusable shopping bag produce bags,Was $1.80, $ 0 60 ,Save $1.20,66.67,Unknown
countdown reusable fruit & veg bag single,Was $0.60, $ 0 20 ,Save $0.40,66.67,Unknown
countdown reusable fruit & veg bag,Was $1.70, $ 0 60 ,Save $1.10,64.71,Unknown
pantene pro-v classic clean conditioner,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v classic clean shampoo,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v moisture renewal conditioner for dry hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v smooth & sleek conditioner for frizzy hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v moisture renewal shampoo for dry hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v ultimate 10 repair & protect conditioner for damaged hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v ultimate 10 repair & protect shampoo for damaged hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
pantene pro-v smooth & sleek shampoo for frizzy hair,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
just juice fruit juice apple,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
real foods corn thins crispbread cheese minis,Was $3.00, $ 1 50 ,Save $1.50,50.0,Bakery
real foods corn thins crispbread minis original,Was $3.00, $ 1 50 ,Save $1.50,50.0,Bakery
just juice fruit juice pulp'd pineapple & mango,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
just juice fruit juice pulp'd tropical,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
energizer max aaa battery,Was $15.00, $ 7 50 ,Save $7.50,50.0,Household
energizer max aa battery,Was $15.00, $ 7 50 ,Save $7.50,50.0,Household
real foods corn thins crispbread minis sour cream & chives,Was $3.00, $ 1 50 ,Save $1.50,50.0,Bakery
just juice pulp'd fruit juice peach & passionfruit,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
just juice fruit juice orange & apple,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
just juice 50% less sugar fruit drink tropical,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
culley's tomato sauce original,Was $1.69, $ 0 90 ,Save $0.79,46.75,Pantry
vanish preen gold oxi action stain remover spray,Was $11.20, $ 6 00 ,Save $5.20,46.43,Unknown
glow lab age renew facial cleanser balm,Was $20.00, $ 11 00 ,Save $9.00,45.0,Health & Body
pantene nutrient blends conditioner colour care with jojoba oil,Was $17.99, $ 10 00 ,Save $7.99,44.41,Health & Body
pantene shampoo colour care with jojoba oil,Was $17.99, $ 10 00 ,Save $7.99,44.41,Health & Body
pantene nutrient blends shampoo miracle moisture boost,Was $17.99, $ 10 00 ,Save $7.99,44.41,Health & Body
pantene nutrient blends conditioner miracle moisture boost,Was $17.99, $ 10 00 ,Save $7.99,44.41,Health & Body
kellogg's sultana bran cereal with oat clusters,Was $10.70, $ 6 00 ,Save $4.70,43.93,Pantry
dove nutritive solutions conditioner daily care,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions conditioner intensive repair,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nourishing secrets shampoo restoring ritual,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions shampoo daily care,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nourishing secrets conditioner restoring ritual,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions conditioner daily moisture,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
dove nutritive solutions shampoo intensive repair,Was $10.49, $ 6 00 ,Save $4.49,42.8,Health & Body
maybelline fit me blusher rose,Was $22.00, $ 12 60 ,Save $9.40,42.73,Beer & Wine
maybelline colossal curl mascara very black waterproof,Was $31.00, $ 18 00 ,Save $13.00,41.94,Drinks
maybelline mascara colossal curl after dark,Was $31.00, $ 18 00 ,Save $13.00,41.94,Unknown
maybelline colossal curl black mascara,Was $31.00, $ 18 00 ,Save $13.00,41.94,Unknown
air wick essential oils automatic air freshener vanilla & cashmere,Was $18.00, $ 10 50 ,Save $7.50,41.67,Unknown
air wick pure automatic air freshener cherry blossom,Was $18.00, $ 10 50 ,Save $7.50,41.67,Unknown
head & shoulders ultra men 2 in 1 shampoo & conditioner sports fresh,Was $17.00, $ 10 00 ,Save $7.00,41.18,Health & Body
head & shoulders ultra men 2 in 1 shampoo & conditioner moisture recharge,Was $17.00, $ 10 00 ,Save $7.00,41.18,Health & Body
head & shoulders ultra men 2 in 1 shampoo & conditioner deep clean,Was $17.00, $ 10 00 ,Save $7.00,41.18,Health & Body
nivea hydrating day cream normal-combination skin spf 30,Was $16.99, $ 10 00 ,Save $6.99,41.14,Fridge & Deli
nivea daily essentials rich night cream dry & sensitive skin,Was $16.99, $ 10 00 ,Save $6.99,41.14,Fridge & Deli
colgate kids 3+ years electric toothbrush battery powered bluey,Was $16.99, $ 10 00 ,Save $6.99,41.14,Household
nivea nourishing day cream dry-sensitive skin spf 30,Was $16.99, $ 10 00 ,Save $6.99,41.14,Fridge & Deli
colgate kids 3+ years electric toothbrush battery powered batman/barbie,Was $16.99, $ 10 00 ,Save $6.99,41.14,Household
nivea micellar water make-up remover sensitive skin 3 in 1,Was $16.99, $ 10 00 ,Save $6.99,41.14,Drinks
nivea daily essentials night cream regenerating norm/comb skin,Was $16.99, $ 10 00 ,Save $6.99,41.14,Fridge & Deli
dove anti-perspirant deodorant aerosol invisible dry,Was $8.49, $ 5 00 ,Save $3.49,41.11,Health & Body
dove men + care antiperspirant aerosol extra fresh,Was $8.49, $ 5 00 ,Save $3.49,41.11,Health & Body
dove invisible dry deodorant antiperspirant floral touch,Was $8.49, $ 5 00 ,Save $3.49,41.11,Unknown
dove men + care antiperspirant deodorant invisible dry,Was $8.49, $ 5 00 ,Save $3.49,41.11,Unknown
dove deodorant antiperspirant original,Was $8.49, $ 5 00 ,Save $3.49,41.11,Unknown
dove deodorant antiperspirant pomegranate & lemon verbena,Was $8.49, $ 5 00 ,Save $3.49,41.11,Unknown
dove men + care antiperspirant aerosol clean comfort,Was $8.49, $ 5 00 ,Save $3.49,41.11,Health & Body
dove advanced care deodorant antiperspirant acai berry & waterlily,Was $8.49, $ 5 00 ,Save $3.49,41.11,Drinks
dove antiperspirant deodorant aerosol coconut & jasmine,Was $8.49, $ 5 00 ,Save $3.49,41.11,Health & Body
dove deodorant antiperspirant green tea & cucumber,Was $8.49, $ 5 00 ,Save $3.49,41.11,Drinks
panasonic aa battery alkaline,Was $27.00, $ 16 00 ,Save $11.00,40.74,Household
lo bros kombucha raspberry & lemon,Was $4.20, $ 2 50 ,Save $1.70,40.48,Drinks
lo bros kombucha fruit crush,Was $4.20, $ 2 50 ,Save $1.70,40.48,Drinks
lo bros organic kombucha feijoa,Was $4.20, $ 2 50 ,Save $1.70,40.48,Drinks
lo bros kombucha ginger & turmeric,Was $4.20, $ 2 50 ,Save $1.70,40.48,Drinks
lo bros pineapple lime kombucha,Was $4.20, $ 2 50 ,Save $1.70,40.48,Drinks
dove body wash nourishing argan oil,Was $10.00, $ 5 99 ,Save $4.01,40.1,Health & Body
dove body wash restoring castor oil,Was $10.00, $ 5 99 ,Save $4.01,40.1,Health & Body
dove body wash triple moisturising,Was $10.00, $ 5 99 ,Save $4.01,40.1,Health & Body
dove body wash restoring coconut,Was $10.00, $ 5 99 ,Save $4.01,40.1,Health & Body
dove men + care roll on deodorant antiperspirant clean comfort,Was $4.99, $ 2 99 ,Save $2.00,40.08,Unknown
dove 3 in 1 conditioner nourishing moisture serum,Was $9.99, $ 5 99 ,Save $4.00,40.04,Health & Body
bic hybrid flex 4 disposable shavers mens,Was $10.99, $ 6 59 ,Save $4.40,40.04,Unknown
dove 3 in 1 conditioner intensive repair,Was $9.99, $ 5 99 ,Save $4.00,40.04,Health & Body
dove men + care body wash clean comfort,Was $15.99, $ 9 59 ,Save $6.40,40.03,Health & Body
dove body wash restoring coconut almond oil,Was $15.99, $ 9 59 ,Save $6.40,40.03,Health & Body
dove body scrub oatmeal and calendula oil,Was $15.99, $ 9 59 ,Save $6.40,40.03,Unknown
dove body scrub pomegranate & shea butter,Was $15.99, $ 9 59 ,Save $6.40,40.03,Fridge & Deli
dove body wash triple moisturising,Was $15.99, $ 9 59 ,Save $6.40,40.03,Health & Body
dove body wash pomegranate & lemon verbena,Was $15.99, $ 9 59 ,Save $6.40,40.03,Health & Body
dove men + care antiperspirant cream clean comfort,Was $17.49, $ 10 49 ,Save $7.00,40.02,Fridge & Deli
dove clinical protection antiperspirant stick fresh touch,Was $17.49, $ 10 49 ,Save $7.00,40.02,Unknown
nivea cellular lift expert night cream advanced anti-age,Was $39.99, $ 23 99 ,Save $16.00,40.01,Fridge & Deli
nivea cellular lift expert day cream advanced anti-age spf15,Was $39.99, $ 23 99 ,Save $16.00,40.01,Fridge & Deli
me today high dose ashwagandha tablets,Was $40.00, $ 24 00 ,Save $16.00,40.0,Health & Body
dove summer glow body lotion fair to medium skin,Was $13.00, $ 7 80 ,Save $5.20,40.0,Health & Body
dove shampoo daily care,Was $20.00, $ 12 00 ,Save $8.00,40.0,Health & Body
dove shampoo restoring ritual,Was $20.00, $ 12 00 ,Save $8.00,40.0,Health & Body
me today men's daily tablets,Was $40.00, $ 24 00 ,Save $16.00,40.0,Health & Body
dove conditioner intensive repair,Was $20.00, $ 12 00 ,Save $8.00,40.0,Health & Body
