item_name,full_price,new_price,discount,amount_saved,category
countdown reusable fruit & veg bag single,Was $0.60, $ 0 20 ,Save $0.40,66.67,Unknown
countdown reusable fruit & veg bag,Was $1.70, $ 0 60 ,Save $1.10,64.71,Unknown
greggs granulated instant coffee rich roast,Was $8.30, $ 3 60 ,Save $4.70,56.63,Drinks
greggs powdered instant coffee red ribbon roast,Was $8.30, $ 3 60 ,Save $4.70,56.63,Drinks
greggs granulated instant coffee decaf roast,Was $8.30, $ 3 60 ,Save $4.70,56.63,Drinks
oral b pro 800 electric toothbrush 3d action,Was $99.99, $ 49 00 ,Save $50.99,51.0,Unknown
oral b pro health toothpaste advanced deep clean,Was $5.49, $ 2 70 ,Save $2.79,50.82,Health & Body
oral b pro health toothpaste advanced whitening,Was $5.49, $ 2 70 ,Save $2.79,50.82,Health & Body
oral b dental floss satin mint tape,Was $4.99, $ 2 49 ,Save $2.50,50.1,Unknown
earthwise hand wash coconut & vanilla,Was $6.99, $ 3 49 ,Save $3.50,50.07,Health & Body
earthwise hand wash lemongrass & honey,Was $6.99, $ 3 49 ,Save $3.50,50.07,Health & Body
earthwise hand wash berry blossom,Was $6.99, $ 3 49 ,Save $3.50,50.07,Health & Body
earthwise hand wash refill coconut & vanilla,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
oral b toothpaste enamel densify daily whitening,Was $9.99, $ 4 99 ,Save $5.00,50.05,Health & Body
earthwise hand wash refill lemongrass,Was $10.99, $ 5 49 ,Save $5.50,50.05,Health & Body
nourish shampoo balance normal hair,Was $12.99, $ 6 49 ,Save $6.50,50.04,Health & Body
"earthwise nourish body wash sweet orange, cedarwood & sage",Was $12.99, $ 6 49 ,Save $6.50,50.04,Health & Body
nourish conditioner balance normal hair,Was $12.99, $ 6 49 ,Save $6.50,50.04,Health & Body
nourish conditioner revitalise,Was $12.99, $ 6 49 ,Save $6.50,50.04,Health & Body
nourish shampoo revitalise,Was $12.99, $ 6 49 ,Save $6.50,50.04,Health & Body
"earthwise nourish body wash coconut, shea & manuka honey",Was $12.99, $ 6 49 ,Save $6.50,50.04,Health & Body
sukin facial moisturiser,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
bulldog shaver original bamboo handle,Was $17.99, $ 8 99 ,Save $9.00,50.03,Unknown
sukin facial cleanser foaming,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
sukin toner hydrating mist,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
ogx morocco dry shampoo argan oil,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
sukin facial scrub revitalising,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
ogx dry shampoo coconut milk,Was $19.99, $ 9 99 ,Save $10.00,50.03,Health & Body
sukin facial cleanser cream,Was $16.99, $ 8 49 ,Save $8.50,50.03,Fridge & Deli
essano scalp scrub deep clean,Was $24.99, $ 12 49 ,Save $12.50,50.02,Unknown
ogx moroccan argan oil hair treatment penetrating,Was $28.99, $ 14 49 ,Save $14.50,50.02,Health & Body
sukin night cream moisture restoring,Was $27.99, $ 13 99 ,Save $14.00,50.02,Fridge & Deli
sukin purely ageless rejuvenating day cream,Was $36.99, $ 18 49 ,Save $18.50,50.01,Fridge & Deli
oral b 3d white tooth whitening whitestrips,Was $44.99, $ 22 49 ,Save $22.50,50.01,Unknown
oral b pro 100 electric toothbrush cross action black,Was $79.99, $ 39 99 ,Save $40.00,50.01,Unknown
oral b 3d white tooth whitening whitestrips sensitive,Was $44.99, $ 22 49 ,Save $22.50,50.01,Unknown
sukin purely ageless restorative night cream,Was $36.99, $ 18 49 ,Save $18.50,50.01,Fridge & Deli
whittakers chocolate bar peanut slab,Was $2.00, $ 1 00 ,Save $1.00,50.0,Pantry
air wick botanica automatic air freshener jasmine & sri lankan cinnamon,Was $20.00, $ 10 00 ,Save $10.00,50.0,Unknown
