item_name,full_price,new_price,discount,amount_saved,category
bulldog razor blades original,Was $18.99, $ 9 00 ,Save $9.99,52.61,Unknown
dove nutritive solutions shampoo daily care,Was $10.49, $ 5 00 ,Save $5.49,52.34,Health & Body
dove nourishing secrets shampoo restoring ritual,Was $10.49, $ 5 00 ,Save $5.49,52.34,Health & Body
dove nutritive solutions conditioner daily moisture,Was $10.49, $ 5 00 ,Save $5.49,52.34,Health & Body
dove nutritive solutions conditioner daily care,Was $10.49, $ 5 00 ,Save $5.49,52.34,Health & Body
dove nutritive solutions shampoo daily moisture,Was $10.49, $ 5 00 ,Save $5.49,52.34,Health & Body
dove nutritive solutions shampoo intensive repair,Was $10.49, $ 5 00 ,Save $5.49,52.34,Health & Body
pringles potato chips original,Was $3.30, $ 1 60 ,Save $1.70,51.52,Pantry
pringles potato chips salt & vinegar,Was $3.30, $ 1 60 ,Save $1.70,51.52,Pantry
pringles potato chips sour cream & onion,Was $3.30, $ 1 60 ,Save $1.70,51.52,Pantry
greggs powdered instant coffee red ribbon roast,Was $8.30, $ 4 10 ,Save $4.20,50.6,Drinks
greggs granulated instant coffee rich roast,Was $8.30, $ 4 10 ,Save $4.20,50.6,Drinks
greggs granulated instant coffee decaf roast,Was $8.30, $ 4 10 ,Save $4.20,50.6,Drinks
sukin facial scrub revitalising,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
sukin facial cleanser cream,Was $16.99, $ 8 49 ,Save $8.50,50.03,Fridge & Deli
sukin facial moisturiser,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
sukin toner hydrating mist,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
sukin facial cleanser foaming,Was $16.99, $ 8 49 ,Save $8.50,50.03,Unknown
sukin night cream moisture restoring,Was $27.99, $ 13 99 ,Save $14.00,50.02,Fridge & Deli
sukin purely ageless restorative night cream,Was $36.99, $ 18 49 ,Save $18.50,50.01,Fridge & Deli
sukin purely ageless rejuvenating day cream,Was $36.99, $ 18 49 ,Save $18.50,50.01,Fridge & Deli
l & p ginger beer dry,Was $4.00, $ 2 00 ,Save $2.00,50.0,Beer & Wine
whittakers chocolate bar creamy milk slab,Was $2.00, $ 1 00 ,Save $1.00,50.0,Pantry
fanta soft drink orange,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
bulldog beard care original balm,Was $12.00, $ 6 00 ,Save $6.00,50.0,Unknown
bulldog beard care original oil,Was $10.00, $ 5 00 ,Save $5.00,50.0,Unknown
pantene intense miracle hair mask treatment: collagen for damaged hair,Was $12.00, $ 6 00 ,Save $6.00,50.0,Health & Body
fanta no sugar soft drink orange,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
sea treasure prawns vannamei whole cooked,Was $32.00, $ 16 00 ,Save $16.00,50.0,Fish & Seafood
auntie dai's siu mai pork,Was $11.60, $ 5 80 ,Save $5.80,50.0,Meat & Poultry
coca cola no sugar soft drink vanilla,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
just juice 50% less sugar fruit drink orange,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
l & p soft drink lemon & paeroa,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
coca cola soft drink raspberry zero sugar,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
l & p soft drink sweet as sugar free,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
ziploc snack bags,Was $5.00, $ 2 50 ,Save $2.50,50.0,Unknown
just juice fruit juice pulp'd tropical,Was $3.30, $ 1 65 ,Save $1.65,50.0,Drinks
lift soft drink lemon,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
auntie dai dumplings vegetarian,Was $11.60, $ 5 80 ,Save $5.80,50.0,Unknown
ziploc freezer bags large,Was $4.50, $ 2 25 ,Save $2.25,50.0,Unknown
pantene 3 min miracle moisture renewal treatment for dry hair,Was $9.00, $ 4 50 ,Save $4.50,50.0,Health & Body
ziploc sandwich bags extra large,Was $3.50, $ 1 75 ,Save $1.75,50.0,Unknown
ziploc sandwich bags,Was $9.50, $ 4 75 ,Save $4.75,50.0,Unknown
lift soft drink diet lemon,Was $4.00, $ 2 00 ,Save $2.00,50.0,Drinks
ziploc storage bags medium,Was $4.50, $ 2 25 ,Save $2.25,50.0,Unknown
auntie dai's dumplings chicken & coriander,Was $11.60, $ 5 80 ,Save $5.80,50.0,Meat & Poultry
pantene 3 min miracle repair & protect treatment for damaged hair,Was $9.00, $ 4 50 ,Save $4.50,50.0,Health & Body
thursday plantation tea tree oil pure 100%,Was $24.99, $ 12 50 ,Save $12.49,49.98,Drinks
bulldog shaver original bamboo handle,Was $17.99, $ 9 00 ,Save $8.99,49.97,Unknown
pantene pro-v smooth & sleek conditioner for frizzy hair,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v colour protection conditioner for coloured hair,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v ultimate 10 repair & protect conditioner for damaged hair,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v daily moisture renewal shampoo for dry hair,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v classic clean shampoo,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v classic clean conditioner,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v moisture renewal conditioner,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v ultimate 10 repair & protect shampoo for damaged hair,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
pantene pro-v smooth & sleek shampoo for frizzy hair,Was $9.99, $ 5 00 ,Save $4.99,49.95,Health & Body
