item_name,full_price,new_price,discount,amount_saved,category
quest frosted cookies chocolate cake,Was $6.49, $ 5 50 ,Save $0.99,15.25,Pantry
delmaine biscuits stroopwafels,Was $5.90, $ 5 00 ,Save $0.90,15.25,Pantry
culley's chicken salt shaker,Was $5.90, $ 5 00 ,Save $0.90,15.25,Meat & Poultry
culley's umami booster shaker,Was $5.90, $ 5 00 ,Save $0.90,15.25,Unknown
rekorderlig cider watermelon & strawberry,Was $6.49, $ 5 50 ,Save $0.99,15.25,Drinks
culley's garlic butter shaker,Was $5.90, $ 5 00 ,Save $0.90,15.25,Fridge & Deli
mainland feta cheese goats milk,Was $9.20, $ 7 80 ,Save $1.40,15.22,Pantry
mainland feta cheese traditional,Was $9.20, $ 7 80 ,Save $1.40,15.22,Fridge & Deli
glad flex n seal freezer bags,Was $8.49, $ 7 20 ,Save $1.29,15.19,Unknown
softly woolwash delicates,Was $11.20, $ 9 50 ,Save $1.70,15.18,Unknown
arnotts creme filled monte carlo,Was $3.30, $ 2 80 ,Save $0.50,15.15,Unknown
brita aluna water filter jug white 24l,Was $33.00, $ 28 00 ,Save $5.00,15.15,Drinks
arnotts chocolate biscuits butternut snap,Was $3.30, $ 2 80 ,Save $0.50,15.15,Pantry
arnotts creme filled kingston creams,Was $3.30, $ 2 80 ,Save $0.50,15.15,Fridge & Deli
arnotts digestives chocolate biscuits milk,Was $3.30, $ 2 80 ,Save $0.50,15.15,Pantry
arnotts creme filled shortbread,Was $3.30, $ 2 80 ,Save $0.50,15.15,Bakery
arnotts digestives chocolate biscuits fruit,Was $3.30, $ 2 80 ,Save $0.50,15.15,Pantry
rocky point pinot noir,Was $32.99, $ 28 00 ,Save $4.99,15.13,Beer & Wine
vitapet purrfit cat litter lavender clumping,Was $15.20, $ 12 90 ,Save $2.30,15.13,Unknown
rjs sweets strawberry ctd chocolate balls,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
rjs licorice allsorts,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
rjs bullets licorice milk & white choc rasp,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
poise womens continence pads extra,Was $10.60, $ 9 00 ,Save $1.60,15.09,Unknown
poise pads overnight,Was $10.60, $ 9 00 ,Save $1.60,15.09,Unknown
rjs licorice raspberry fresh,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
poise womens continence pads regular,Was $10.60, $ 9 00 ,Save $1.60,15.09,Unknown
rjs chocolate raspberry balls,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
rjs licorice natural,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
poise womens continence pads super,Was $10.60, $ 9 00 ,Save $1.60,15.09,Unknown
rj's sweets soft licorice mixed fruit,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
talbot forest parmesan cheese,Was $10.60, $ 9 00 ,Save $1.60,15.09,Fridge & Deli
poise womens continence pads extra plus,Was $10.60, $ 9 00 ,Save $1.60,15.09,Unknown
rjs licorice twist rasberry chocolate,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
rjs licorice twist chocolate,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
rjs bullets licorice dark & milk chocolate,Was $5.30, $ 4 50 ,Save $0.80,15.09,Pantry
seasons gourmet dip vegan 3 pepper chunky,Was $5.30, $ 4 50 ,Save $0.80,15.09,Fridge & Deli
seasons gourmet dip vegan basil chunky,Was $5.30, $ 4 50 ,Save $0.80,15.09,Fridge & Deli
finish dishwasher cleaner lemon dual action,Was $10.00, $ 8 50 ,Save $1.50,15.0,Household
havana espresso grind super deluxe,Was $10.00, $ 8 50 ,Save $1.50,15.0,Pantry
havana plunger pacifica,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
havana coffee beans x blend,Was $10.00, $ 8 50 ,Save $1.50,15.0,Drinks
ethique solid body butter sweet orange & vanilla,Was $20.00, $ 17 00 ,Save $3.00,15.0,Fridge & Deli
delmaine sundried tomatoes marinated,Was $8.00, $ 6 80 ,Save $1.20,15.0,Unknown
frula skin face moisturiser super hydrating,Was $20.00, $ 17 00 ,Save $3.00,15.0,Unknown
ecostore fabric softener ultra sensitive,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
havana plunger grind super deluxe,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
havana 5 star coffee beans,Was $10.00, $ 8 50 ,Save $1.50,15.0,Drinks
kapiti deli cheese gouda,Was $10.00, $ 8 50 ,Save $1.50,15.0,Fridge & Deli
ecostore fabric softener citrus,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
havana coffee beans pacifica,Was $10.00, $ 8 50 ,Save $1.50,15.0,Drinks
ethique solid body cream lavender & vanilla,Was $20.00, $ 17 00 ,Save $3.00,15.0,Fridge & Deli
anchor milk powder instant,Was $10.00, $ 8 50 ,Save $1.50,15.0,Fridge & Deli
havana plunger grind five star,Was $10.00, $ 8 50 ,Save $1.50,15.0,Unknown
