item_name,full_price,new_price,discount,amount_saved,category
glow lab antibacterial hand wash lemongrass & lime,Was $6.99, $ 4 00 ,Save $2.99,42.78,Health & Body
ferrero collection chocolate box gift pack 269g,Was $25.90, $ 15 00 ,Save $10.90,42.08,Pantry
robert harris plunger & filter grind irish cream infused,Was $8.60, $ 5 00 ,Save $3.60,41.86,Fridge & Deli
robert harris espresso grind italian roast,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
robert harris plunger & filter grind jamaican blue mountain,Was $8.60, $ 5 00 ,Save $3.60,41.86,
robert harris plunger & filter grind french roast,Was $8.60, $ 5 00 ,Save $3.60,41.86,
robert harris intense shot coffee pods french,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
robert harris plunger & filter grind italian roast,Was $8.60, $ 5 00 ,Save $3.60,41.86,
robert harris plunger & filter grind start me up,Was $8.60, $ 5 00 ,Save $3.60,41.86,
robert harris intense shot coffee pods italian,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
robert harris coffee beans arabica gold,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
robert harris coffee pods colombian espresso,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
robert harris coffee pods italian espresso,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
robert harris coffee beans italian roast,Was $8.60, $ 5 00 ,Save $3.60,41.86,Pantry
glow lab night cream,Was $24.00, $ 14 00 ,Save $10.00,41.67,Fridge & Deli
glow lab facial moisturiser hydra gel sensitive,Was $18.00, $ 10 50 ,Save $7.50,41.67,
bic simply soleil shaver click with blades,Was $11.99, $ 7 00 ,Save $4.99,41.62,
energizer max plus aa battery,Was $17.00, $ 10 00 ,Save $7.00,41.18,
energizer max plus aaa battery,Was $17.00, $ 10 00 ,Save $7.00,41.18,
glow lab body scrub coconut,Was $16.99, $ 10 00 ,Save $6.99,41.14,
gillette venus comfortglide razor white tea,Was $16.99, $ 10 00 ,Save $6.99,41.14,
glow lab soap shea butter,Was $3.80, $ 2 25 ,Save $1.55,40.79,Health & Body
glow lab soap charcoal,Was $3.80, $ 2 25 ,Save $1.55,40.79,Health & Body
glow lab soap pink clay,Was $3.80, $ 2 25 ,Save $1.55,40.79,Health & Body
glow lab facial cleanser crème,Was $16.00, $ 9 50 ,Save $6.50,40.62,
glow lab exfoliator brightening,Was $16.00, $ 9 50 ,Save $6.50,40.62,
glow lab foaming cleanser non-drying formula,Was $16.00, $ 9 50 ,Save $6.50,40.62,
glow lab facial cleanser gel,Was $16.00, $ 9 50 ,Save $6.50,40.62,
glow lab facial moisturiser,Was $16.00, $ 9 50 ,Save $6.50,40.62,
neutrogena make up remover oil free eye make up,Was $18.99, $ 11 29 ,Save $7.70,40.55,
vittoria instant coffee italian freeze dried,Was $13.80, $ 8 25 ,Save $5.55,40.22,Pantry
vittoria instant coffee mountain grown freeze dried,Was $13.80, $ 8 25 ,Save $5.55,40.22,Pantry
vittoria instant coffee late freeze dried,Was $13.80, $ 8 25 ,Save $5.55,40.22,Pantry
neutrogena make up remover wipes,Was $11.99, $ 7 19 ,Save $4.80,40.03,
